,0,1,2,3,4,5,6,7
112,1126,우장산역 1번출구옆(우장산아이파크105동앞),운영중,7,1,서울특별시 강서구 강서로 지하 262 강서구 화곡동 1159-6,37.54890823,126.83656311
113,1127,화곡역(에이스정형외과앞) 버스정류장,운영중,10,5,서울특별시 강서구 화곡로 157 강서구 화곡동 1089-52,37.54098129,126.83854675
114,1128,화곡역 6번출구,운영중,10,4,서울특별시 강서구 화곡로 지하 168 화곡역 6번출구,37.54141235,126.84022522
115,1129,화곡역 1번 출구 앞,운영중,7,2,서울특별시 강서구 화곡로 지하 168 강서구 화곡동 1089-43,37.54209900,126.84021759
116,1130,화곡본동시장 버스정류장,운영중,7,3,서울특별시 강서구 화곡로 196 강서구 화곡동 109-12,37.54275131,126.84262085
117,1131,꿈돌이공원 앞,운영중,8,0,서울특별시 강서구 화곡로 232 강서구 화곡동 94-6,37.54644394,126.84545898
118,1132,등촌역 7번출구,운영중,10,1,서울특별시 강서구 공항대로 지하 529 강서구 등촌동 505-3,37.55110931,126.86370850
119,1135,강서구의회,운영중,10,0,서울특별시 강서구 등촌로 185 강서구 등촌동 608-4,37.54653168,126.86254883
120,1136,등촌2파출소,운영중,10,2,서울특별시 강서구 등촌로 167 강서구 등촌동 608-6,37.54478836,126.86199951
121,1137,등촌2동주민센터,운영중,10,1,서울특별시 강서구 등촌로 143 강서구 등촌동 577,37.54143143,126.86322021
122,1139,용문사 버스정류장,운영중,8,4,서울특별시 강서구 등촌로 95 강서구 등촌동 579,37.53650665,126.86333466
123,114,홍대입구역 8번출구 앞,운영중,15,0,서울특별시 마포구 양화로18길 3 192-5,37.55706024,126.92442322
124,1140,목동사거리 버스정류장,운영중,15,3,서울특별시 강서구 등촌로 19 강서구 화곡동 939-3,37.53139877,126.86360931
125,1141,곰달래 문화복지센터 1-1,운영중,10,5,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.52906036,126.84848022
126,1145,곰달래 문화복지센터 1-2,운영중,10,1,서울특별시 강서구 강서로5길 50 강서구 화곡동 941-2,37.52891922,126.84808350
127,1146,곰달래사거리,운영중,10,3,서울특별시 강서구 곰달래로 51 355-48,37.53033829,126.83825684
128,1148,볏골공원,운영중,10,5,서울특별시 강서구 까치산로4길 22 강서구 화곡동 98-148,37.54146957,126.84477997
129,1149,신방화역환승주차장,운영중,13,6,서울특별시 강서구 마곡서1로 111-12 신방화역환승주차장,37.56728363,126.81827545
130,115,사루비아 빌딩 앞,운영중,15,1,서울특별시 서대문구 연희로 6 516,37.55893326,126.92711639
131,1150,송정역 1번출구,운영중,10,2,서울특별시 강서구 공항대로3길 18 송정역 1번출구,37.56155014,126.81047821
132,1151,마곡역1번출구,운영중,25,0,서울특별시 강서구 마곡동 727-716 마곡역2번출구,37.56023407,126.82347107
133,1152,마곡역교차로,운영중,10,0,서울특별시 강서구 마곡동 728-168 마곡역7번출구,37.55831146,126.82652283
134,1153,"발산역 1번, 9번 인근 대여소",운영중,10,0,서울특별시 강서구 공항대로 281 발산역 4번출구,37.55889130,126.83721924
135,1155,기쁜우리복지관,운영중,10,2,서울특별시 강서구 가양동 1458-15  기쁜우리복지관,37.56925964,126.84841919
136,1157,강서구청,운영중,8,4,서울특별시 강서구 화곡로 302 강서구청,37.55065918,126.84976959
137,1158,가양역 8번출구,운영중,20,0,서울특별시 강서구 양천로 지하 485 가양역 8번출구,37.56103516,126.85481262
138,1159,서서울모터리움앞,운영중,20,0,서울특별시 강서구 양천로53길 30 서서울모터리움앞,37.56585312,126.84659576
139,116,일진아이윌아파트 옆,운영중,5,5,서울특별시 서대문구 동교로 290 일진아이윌아파트 옆,37.56454086,126.92707062
140,1160,양천향교역 7번출구앞,운영중,20,0,서울특별시 강서구 양천로 지하 341 양천향교역 7번출구 앞,37.56768036,126.84089661
141,1161,강서면허시험장앞,운영중,10,0,서울특별시 강서구 남부순환로 171 강서면허시험장앞,37.54969406,126.81966400
142,1162,공항초등학교건너편,운영중,10,2,서울특별시 강서구 마곡서1로 68 공항초등학교건너편,37.56267929,126.82047272
143,1163,방화동강서기동대앞,운영중,10,8,서울특별시 강서구 방화대로34길 65 방화동 강서기동대앞,37.57049942,126.82008362
144,1165,마곡중학교 후문,운영중,20,1,서울특별시 강서구 마곡중앙5로 58 마곡중학교 후문,37.56844711,126.82164764
145,1166,강서구립등빛도서관,운영중,10,1,서울특별시 강서구 강서로62길 48 강서구립등빛도서관,37.56256866,126.84246063
146,1167,마곡수명산파크3단지 교차로,운영중,15,8,서울특별시 강서구 내발산동 751-3,37.55350876,126.82586670
147,1168,마곡엠밸리10단지 앞,운영중,10,4,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지 앞,37.56022644,126.81906891
148,1169,염창역 1번 출구,운영중,8,1,서울특별시 강서구 공항대로 625 염창역 1번 출구,37.54719925,126.87448883
149,117,홍은사거리,운영중,25,0,서울특별시 서대문구 통일로 483 홍은사거리 앞,37.59115982,126.94132996
150,1170,강서구보건소 (삼성디지털 프라자),운영중,11,1,서울특별시 강서구 공항대로 571 강서구보건소 (삼성디지털 프라자),37.54917908,126.86879730
151,1171,염창동 새마을금고 건너편 (모닝글로리),운영중,8,2,서울특별시 강서구 양천로 696 염창동 새마을금고 건너편 (모닝글로리),37.55004883,126.87316132
152,1172,가양3동 주민센터,운영중,8,1,서울특별시 강서구 허준로 202 가양3동 주민센터,37.56124878,126.86058044
153,1173,강서구청사거리(SH타워),운영중,15,2,서울특별시 강서구 공항대로 411 강서구청사거리(SH타워),37.55625916,126.85331726
154,1174,강서구청사거리(부민병원),운영중,9,2,서울특별시 강서구 공항대로 395 강서구청사거리(부민병원),37.55659866,126.85147095
155,1175,대한항공 인력개발센터,운영중,15,1,서울특별시 강서구 공항대로 453 대한항공 인력개발센터,37.55437851,126.85753632
